"anio","mes","division","indice"
2015,8,2,82.1623701423624
2015,8,3,92.0671877598536
2015,8,4,79.2712113024009
2015,8,5,85.1708428246013
2015,8,6,82.5985059323275
2015,8,7,74.5525404157043
2015,8,8,91.0504088417647
2015,8,9,84.3275032460093
2015,8,10,97.5733158437177
2015,8,11,76.4791432537846
2015,8,12,87.3673149686951
2015,8,13,84.9842817818793
2015,9,1,53.1130831462276
2015,9,2,82.8472489419007
2015,9,3,92.1586562448029
2015,9,4,79.0627653825368
2015,9,5,85.3530751708428
2015,9,6,82.642449099165
2015,9,7,73.3328521939953
2015,9,8,91.0504088417647
2015,9,9,84.5719086534789
2015,9,10,97.5733158437177
2015,9,11,76.5783036953791
2015,9,12,87.2984933594291
2015,9,13,85.1039712783303
2015,10,1,53.7902277344167
2015,10,2,82.9242016160061
2015,10,3,92.2584400465657
2015,10,4,79.0936462595537
2015,10,5,85.5960516324981
2015,10,6,82.7156877105609
2015,10,7,73.094688221709
2015,10,8,91.0863509749303
2015,10,9,84.823951729932
2015,10,10,97.5733158437177
2015,10,11,76.730349705824
2015,10,12,87.26496488312
2015,10,13,85.3038939895928
2015,11,1,54.2820485405752
2015,11,2,82.9549826856483
2015,11,3,92.3582238483286
2015,11,4,79.9969119122983
2015,11,5,85.7555049354593
2015,11,6,82.8475172110736
2015,11,7,72.5822748267898
2015,11,8,91.0773654416389
2015,11,9,85.1447338272359
2015,11,10,97.5826852806146
2015,11,11,76.8559529318437
2015,11,12,87.4026081016521
2015,11,13,85.5502985154445
2015,12,1,54.9449374532235
2015,12,2,83.178145440554
2015,12,3,92.5245301846
2015,12,4,80.0200725700609
2015,12,5,85.8238420652999
2015,12,6,82.9280796836091
2015,12,7,71.9183025404157
2015,12,8,91.0683799083475
2015,12,9,85.595356297258
2015,12,10,97.7888128923451
2015,12,11,76.9088385006941
2015,12,12,87.3673149686951
2015,12,13,85.6489222128431
2016,1,1,56.3669410884208
2016,1,2,83.3782223932281
2016,1,3,92.6243139863628
2016,1,4,80.429244190535
2016,1,5,85.8390280941533
2016,1,6,83.0818807675406
2016,1,7,70.9439953810623
2016,1,8,91.0773654416389
2016,1,9,85.5724432903078
2016,1,10,97.9480933195914
2016,1,11,76.8956171084815
2016,1,12,87.6349344929575
2016,1,13,85.7978171426601
2016,2,1,56.6235432481556
2016,2,2,83.5552135436706
2016,2,3,92.75735905538
2016,2,4,80.6145294526364
2016,2,5,85.9529233105542
2016,2,6,83.2503295737512
2016,2,7,70.4965357967667
2016,2,8,91.0773654416389
2016,2,9,85.4120522416558
2016,2,10,97.9668321933851
2016,2,11,77.1732663449461
2016,2,12,90.202888360012
2016,2,13,85.9365249072554
2016,3,1,56.3455575751095
2016,3,2,83.54751827626
2016,3,3,92.9236653916514
2016,3,4,81.6799197097197
2016,3,5,86.0668185269552
2016,3,6,83.4334261022411
2016,3,7,71.6945727482679
2016,3,8,91.1492497079701
2016,3,9,86.114717788131
2016,3,10,98.0698959992504
2016,3,11,77.3385337476036
2016,3,12,92.8262206663234
2016,3,13,86.0107118067652
2016,4,1,56.3918885206172
2016,4,2,83.8861100423239
2016,4,3,93.0068185597871
2016,4,4,81.6799197097197
2016,4,5,86.127562642369
2016,4,6,83.6018749084517
2016,4,7,72.6833140877598
2016,4,8,91.0863509749303
2016,4,9,86.2292828228824
2016,4,10,98.0605265623535
2016,4,11,77.457526277517
2016,4,12,85.7203867680668
2016,4,13,86.1491782386986
2016,5,1,56.8159948679568
2016,5,2,84.1631396691035
2016,5,3,93.0816564111092
2016,5,4,82.1045317687022
2016,5,5,86.1503416856492
2016,5,6,83.7483521312435
2016,5,7,73.1307736720554
2016,5,8,91.0863509749303
2016,5,9,86.2063698159321
2016,5,10,98.0605265623535
2016,5,11,77.788061082832
2016,5,12,92.0396112578451
2016,5,13,86.2084836145448
2016,6,1,57.0084464877579
2016,6,2,84.4863409003462
2016,6,3,93.1648095792449
2016,6,4,83.0386782984636
2016,6,5,86.1579347000759
2016,6,6,83.9241247985938
2016,6,7,74.2710739030023
2016,6,8,91.0953365082217
2016,6,9,86.58061559612
2016,6,10,98.0605265623535
2016,6,11,77.8475573477887
2016,6,12,93.070187301328
2016,6,13,86.342541888057
2016,7,1,58.0954417477458
2016,7,2,84.6094651789149
2016,7,3,93.2396474305671
2016,7,4,83.2934455338531
2016,7,5,86.1047835990888
2016,7,6,84.0852497436648
2016,7,7,73.5060623556581
2016,7,8,91.0953365082217
2016,7,9,86.6111662720537
2016,7,10,98.0980043099409
2016,7,11,78.0194354465525
2016,7,12,93.0761443882845
2016,7,13,86.4589373274507
2016,8,1,58.359171745251
2016,8,2,84.6556367833782
2016,8,3,93.4225844004656
2016,8,4,83.1236007102601
2016,8,5,86.0744115413819
2016,8,6,84.3122894389922
2016,8,7,73.4122401847575
2016,8,8,91.0953365082217
2016,8,9,86.7562819827388
2016,8,10,98.1261126206315
2016,8,11,78.0590996231903
2016,8,12,92.9596660833661
2016,8,13,86.6183971553882
2016,9,1,57.8673509390926
2016,9,2,84.7787610619469
2016,9,3,93.5140528854149
2016,9,4,83.3474870686327
2016,9,5,86.0971905846621
2016,9,6,84.4660905229236
2016,9,7,73.8019630484988
2016,9,8,91.0953365082217
